"","age","sex","born","educ","income","cohort","income16","granborn","income16_cat","income_cat"
"180",67,"Male","Yes",20,13,1954,26,"Four","$170,000 OR OVER",NA
"181",28,"Male","Yes",10,1,1993,1,NA,"$1,000 AND UNDER","$1,000 AND UNDER"
"182",41,"Female","Yes",12,10,1980,11,"None","$15,000 TO $17,499","$15,000 TO $19,999"
"183",45,"Female","Yes",14,6,1976,6,"Two","$6,000 TO $6,999","$6,000 TO $6,999"
"184",NA,NA,"Yes",18,NA,9999,NA,"None",NA,NA
"185",NA,"Male","Yes",16,12,9999,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"186",64,"Female","Yes",12,11,1957,13,"None","$20,000 TO $22,499","$20,000 TO $24,999"
"187",41,"Male","Yes",9,12,1980,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"188",52,"Male","Yes",14,12,1969,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"189",58,"Female","Yes",12,12,1963,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"190",NA,"Female","Yes",17,NA,9999,NA,NA,NA,NA
"191",79,"Female","Yes",6,12,1942,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"192",NA,"Male","Yes",12,12,9999,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"193",85,"Female","Yes",12,12,1936,15,"None","$25,000 TO $29,999","$25,000 OR MORE"
"194",NA,"Male","No",NA,NA,9999,NA,NA,NA,NA
"195",53,"Female","Yes",14,12,1968,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"196",59,"Female","Yes",13,12,1962,18,"Two","$40,000 TO $49,999","$25,000 OR MORE"
"197",39,"Male","Yes",19,12,1982,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"198",50,"Female","Yes",12,12,1971,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"199",37,"Female","No",16,12,1984,20,"Four","$60,000 TO $74,999","$25,000 OR MORE"
"200",35,"Male","No",0,10,1986,12,"Four","$17,500 TO $19,999","$15,000 TO $19,999"
"201",42,"None of These","Yes",15,12,1979,19,NA,"$50,000 TO $59,999","$25,000 OR MORE"
"202",57,"Female","Yes",12,8,1964,8,"None","$8,000 TO $9,999","$8,000 TO $9,999"
"203",28,"Female","No",14,8,1993,8,"Four","$8,000 TO $9,999","$8,000 TO $9,999"
"204",37,"Female","Yes",12,4,1984,4,"None","$4,000 TO $4,999","$4,000 TO $4,999"
"205",72,"Female","Yes",17,12,1949,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"206",34,"Female","No",13,3,1987,3,"Two","$3,000 TO $3,999","$3,000 TO $3,999"
"207",63,"Female","Yes",18,13,1958,26,"None","$170,000 OR OVER",NA
"208",51,"Female","Yes",17,9,1970,10,"Four","$12,500 TO $14,999","$10,000 TO $14,999"
"209",33,"Male","Yes",12,12,1988,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"210",70,"Female","Yes",20,13,1951,26,"None","$170,000 OR OVER",NA
"211",59,"Male","Yes",14,13,1962,26,"None","$170,000 OR OVER",NA
"212",44,"Female","Yes",14,12,1977,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"213",78,"Female","Yes",16,13,1943,26,"None","$170,000 OR OVER",NA
"214",NA,"Female","Yes",12,NA,9999,NA,"None",NA,NA
"215",46,"Female","Yes",18,12,1975,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"216",37,"Male","Yes",16,12,1984,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"217",49,"Female","Yes",14,1,1972,1,"None","$1,000 AND UNDER","$1,000 AND UNDER"
"218",30,"None of These","Yes",16,12,1991,15,"Three","$25,000 TO $29,999","$25,000 OR MORE"
"219",50,"Male","Yes",NA,NA,1971,NA,"None",NA,NA
"220",67,"Male","Yes",12,12,1954,19,"Two","$50,000 TO $59,999","$25,000 OR MORE"
"221",42,"Female","No",15,2,1979,2,"Four","$1,000 TO $2,999","$1,000 TO $2,999"
"222",20,"Female","Yes",11,NA,2001,NA,NA,NA,NA
"223",65,"Female","No",12,12,1956,20,NA,"$60,000 TO $74,999","$25,000 OR MORE"
"224",36,"Female","No",17,12,1985,18,"Four","$40,000 TO $49,999","$25,000 OR MORE"
"225",NA,"Male","Yes",16,12,9999,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"226",60,"Male","Yes",16,13,1961,26,"Two","$170,000 OR OVER",NA
"227",47,"Male","Yes",16,13,1974,26,"None","$170,000 OR OVER",NA
"228",29,"Female","Yes",16,12,1992,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"229",60,"Female","No",14,12,1961,25,"Four","$150,000 TO $169,999","$25,000 OR MORE"
"230",35,"Male","No",19,12,1986,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"231",43,"Female","Yes",14,12,1978,20,"One","$60,000 TO $74,999","$25,000 OR MORE"
"232",64,"Female","Yes",13,12,1957,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"233",34,"Female","Yes",20,13,1987,26,"None","$170,000 OR OVER",NA
"234",39,"Male","Yes",12,9,1982,10,NA,"$12,500 TO $14,999","$10,000 TO $14,999"
"235",68,"Male","Yes",15,11,1953,13,"None","$20,000 TO $22,499","$20,000 TO $24,999"
"236",32,"Female","Yes",16,12,1989,22,"Two","$90,000 TO $109,999","$25,000 OR MORE"
"237",29,"Female","No",12,NA,1992,NA,NA,NA,NA
"238",45,"Female","Yes",12,7,1976,7,"None","$7,000 TO $7,999","$7,000 TO $7,999"
"239",42,"Female","Yes",18,12,1979,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"240",74,"Female","Yes",16,12,1947,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"241",NA,NA,"No",14,13,9999,27,NA,NA,NA
"242",32,"Male","No",16,12,1989,19,"Four","$50,000 TO $59,999","$25,000 OR MORE"
"243",38,"Male","Yes",18,12,1983,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"244",60,"Female","Yes",14,12,1961,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"245",NA,"Male","Yes",14,12,9999,18,NA,"$40,000 TO $49,999","$25,000 OR MORE"
"246",52,"Female","Yes",12,8,1969,8,"None","$8,000 TO $9,999","$8,000 TO $9,999"
"247",67,"Male","Yes",12,12,1954,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"248",57,"Male","No",17,NA,1964,NA,"Four",NA,NA
"249",NA,"Male","No",16,13,9999,26,NA,"$170,000 OR OVER",NA
"250",38,"Female","Yes",16,12,1983,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"251",67,"Female","Yes",14,NA,1954,NA,"Four",NA,NA
"252",37,"Male","No",16,13,1984,26,"Four","$170,000 OR OVER",NA
"253",58,"Male","Yes",20,NA,1963,NA,"Four",NA,NA
"254",NA,"Male","No",20,13,9999,26,"Two","$170,000 OR OVER",NA
"255",33,"Male","No",19,12,1988,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"256",72,"Male","Yes",14,12,1949,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"257",36,"Male","Yes",12,12,1985,16,"None","$30,000 TO $34,999","$25,000 OR MORE"
"258",30,"Female","Yes",16,12,1991,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"259",NA,"Female","Yes",12,12,9999,15,"Two","$25,000 TO $29,999","$25,000 OR MORE"
"260",46,"Male","Yes",12,12,1975,18,"Four","$40,000 TO $49,999","$25,000 OR MORE"
"261",33,"Female","Yes",16,12,1988,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"262",34,"Female","Yes",15,12,1987,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"263",52,"Male","Yes",16,13,1969,26,"None","$170,000 OR OVER",NA
"264",39,"Male","Yes",11,11,1982,14,"None","$22,500 TO $24,999","$20,000 TO $24,999"
"265",78,"Female","Yes",16,12,1943,20,"One","$60,000 TO $74,999","$25,000 OR MORE"
"266",27,"Female","Yes",16,NA,1994,NA,"Four",NA,NA
"267",53,"Female","Yes",15,12,1968,18,NA,"$40,000 TO $49,999","$25,000 OR MORE"
"268",61,"Female","Yes",15,12,1960,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"269",37,"Male","Yes",13,12,1984,16,"None","$30,000 TO $34,999","$25,000 OR MORE"
"270",48,"Female","Yes",12,3,1973,3,"None","$3,000 TO $3,999","$3,000 TO $3,999"
"271",25,"Male","Yes",18,3,1996,3,"None","$3,000 TO $3,999","$3,000 TO $3,999"
"272",32,"Female","Yes",19,NA,1989,NA,"None",NA,NA
"273",33,"Male","Yes",18,12,1988,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"274",69,"Male","Yes",18,12,1952,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"275",57,"Female","Yes",15,12,1964,18,NA,"$40,000 TO $49,999","$25,000 OR MORE"
"276",69,"Male","No",14,12,1952,16,"Two","$30,000 TO $34,999","$25,000 OR MORE"
"277",60,"Male","Yes",15,12,1961,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"278",NA,"Male","Yes",16,NA,9999,NA,"None",NA,NA
"279",61,"Male","Yes",18,12,1960,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"280",61,"Male","Yes",13,12,1960,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"281",65,"Female","Yes",13,NA,1956,NA,"None",NA,NA
"282",37,"Female","Yes",16,12,1984,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"283",65,"Male","No",13,9,1956,9,"Four","$10,000 TO $12,499","$10,000 TO $14,999"
"284",63,"Male","No",15,12,1958,16,NA,"$30,000 TO $34,999","$25,000 OR MORE"
"285",34,"Female","Yes",13,12,1987,17,"Two","$35,000 TO $39,999","$25,000 OR MORE"
"286",65,"Male","Yes",20,13,1956,26,"Two","$170,000 OR OVER",NA
"287",NA,"Female","Yes",16,12,9999,18,"Three","$40,000 TO $49,999","$25,000 OR MORE"
"288",29,"Female","Yes",16,12,1992,21,NA,"$75,000 TO $89,999","$25,000 OR MORE"
"289",67,"Female","Yes",17,12,1954,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"290",29,"Female","Yes",16,12,1992,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"291",NA,NA,NA,NA,13,9999,27,NA,NA,NA
"292",69,"Male","Yes",17,13,1952,26,"Four","$170,000 OR OVER",NA
"293",44,"Female","Yes",16,12,1977,22,"One","$90,000 TO $109,999","$25,000 OR MORE"
"294",35,"Male","No",16,12,1986,21,"One","$75,000 TO $89,999","$25,000 OR MORE"
"295",57,"Male","Yes",16,12,1964,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"296",NA,"Female","No",19,13,9999,26,NA,"$170,000 OR OVER",NA
"297",60,"Female","Yes",16,12,1961,25,"Four","$150,000 TO $169,999","$25,000 OR MORE"
"298",66,"Male","Yes",12,12,1955,18,NA,"$40,000 TO $49,999","$25,000 OR MORE"
"299",32,"Male","Yes",18,12,1989,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"300",72,"Male","Yes",16,12,1949,19,"One","$50,000 TO $59,999","$25,000 OR MORE"
"301",NA,"Female","Yes",15,12,9999,21,"Two","$75,000 TO $89,999","$25,000 OR MORE"
"302",24,"Male","Yes",16,12,1997,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"303",57,"Female","Yes",12,1,1964,11,"One","$15,000 TO $17,499","$1,000 AND UNDER"
"304",76,"Male","Yes",13,11,1945,13,"Four","$20,000 TO $22,499","$20,000 TO $24,999"
